X,Y,OBJECTID,GMID,ENGLISH_CATEGORY,ENGLISH_NAME,ENGLISH_ADDRESS,中文類別,設施名稱,中文地址,District,地區,Sub_District,分區,Opening_Hours,開放時間,Telephone,聯絡電話,Fax_Number,傳真號碼,Email_Address,電郵地址,Website,網頁,Last_collection_time,最後接收箱時間,Remarks,備註,Latitude,Longitude,Building_CSUID,Northing,Easting,ChineseCategory
114.26633,22.31463,36,Jcg4J1Eit6,Street Posting Boxes,Street Posting Box No. 636,"Bus Stop La Cite Nobe, Ngan O Road",郵筒,編號636郵箱,將軍澳銀澳路新寶城巴士站,SAI KUNG,西貢區,TSEUNG KWAN O,將軍澳,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to Fri: 10:00 a.m.<br>Sat: 10:00 a.m.,星期一至五:上午 10:00<br>星期六: 上午 10:00,N.A.,N.A.,22.31463,114.26633,,819518,845485,
114.26193,22.30707,37,4lM2rgIktp,Street Posting Boxes,Street Posting Box No. 637,"Bauhinia Garden, Tseung Kwan O",郵筒,編號637郵箱,將軍澳寶盈花園,SAI KUNG,西貢區,TSEUNG KWAN O,將軍澳,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to Fri:10:30 a.m.<br> Sat:10:30 a.m.,星期一至五:上午 10:30 <br>星期六: 上午 10:30,N.A.,N.A.,22.30707,114.26193,,818681,845032,
114.252480000000105,22.30368,38,2i9LRjtW61,Street Posting Boxes,Street Posting Box No. 632,"Outside Ocean Shores ,Chui Ling Road.",郵筒,編號632郵箱,維景灣畔外翠嶺路,SAI KUNG,西貢區,TSEUNG KWAN O,將軍澳,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to Fri: 10:30 a.m.<br>Sat: 10:30 a.m.,星期一至五:上午 10:30 <br>星期六: 上午 10:30,N.A.,N.A.,22.30368,114.25248,,818305,844058,
114.25339,22.31978,39,gL0WQkugcq,Street Posting Boxes,Street Posting Box No. 456,Hong Sing Garden Shopping Arcade Tseung Kwan O.,郵筒,編號456郵箱,將軍澳康盛花園商場,SAI KUNG,西貢區,TSEUNG KWAN O,將軍澳,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to Fri: 11:30 a.m.<br>Sat: 11:30 a.m.,星期一至五:上午 11:30 <br>星期六: 上午 11:30,N.A.,N.A.,22.31978,114.25339,4412020089T20050430,820088,844151,
114.25989,22.3224,40,ee36yicJCG,Street Posting Boxes,Street Posting Box No. 427,"King Lam Estate, Tseung Kwan O Police Station.",郵筒,編號427郵箱,景林邨將軍澳警署,SAI KUNG,西貢區,TSEUNG KWAN O,將軍澳,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to Fri: 10:15 a.m.<br>Sat: 10:15 a.m.,星期一至五: 上午 10:15 <br>星期六: 上午 10:15,N.A.,N.A.,22.3224,114.25989,,820379,844821,
114.24506,22.31968,41,s3x1MlEq69,Street Posting Boxes,Street Posting Box No. 403,"Ma Yau Tong Tsuen, Tseung Kwan O.",郵筒,編號403郵箱,將軍澳馬游塘村,SAI KUNG,西貢區,TSEUNG KWAN O,將軍澳,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to Fri: 11:30 a.m.<br>Sat: 11:30 a.m.,星期一至五:上午 11:30 <br>星期六: 上午 11:30,N.A.,N.A.,22.31968,114.24506,,820077,843293,
114.26458,22.31693,42,xeSnTDTHLP,Street Posting Boxes,Street Posting Box No. 222,"Hau Tak Estate, Tseung Kwan O",郵筒,編號222郵箱,將軍澳厚德邨,SAI KUNG,西貢區,TSEUNG KWAN O,將軍澳,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to Fri: 10:15 a.m.<br>Sat: 1015 a.m.,星期一至五: 上午 10:15<br>星期六: 上午 10:15,N.A.,N.A.,22.31693,114.26458,,819773,845304,
114.25719,22.30806,43,SgwqHshNwc,Street Posting Boxes,Street Posting Box No. 160,Taxi Stand Tong Tak Street Tong Ming Court,郵筒,編號160郵箱,唐明苑唐德街的士站,SAI KUNG,西貢區,TSEUNG KWAN O,將軍澳,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to Fri: 10:30 a.m.<br>Sat: 10:30 a.m.,星期一至五:上午 10:30 <br>星期六: 上午 10:30,N.A.,N.A.,22.30806,114.25719,,818791,844544,
114.24894,22.32325,44,xCXo9APZyV,Street Posting Boxes,Street Posting Box No. 135,Bus Terminus Tsui Lam Estate.,郵筒,編號135郵箱,翠林邨巴士總站,SAI KUNG,西貢區,TSEUNG KWAN O,將軍澳,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to Fri: 11:00 a.m.<br>Sat: 11:00 a.m.,星期一至五:上午 11:00 <br>星期六: 上午 11:00,N.A.,N.A.,22.32325,114.24894,,820472,843693,
114.26882,22.31781,45,4gIR0DFnqT,Street Posting Boxes,Street Posting Box No. 31,"Bus Stop Fu Ning Garden, Po Ning Road, Tseung Kwan O.",郵筒,編號31郵箱,將軍澳寶寧路富寧花園巴士站,SAI KUNG,西貢區,TSEUNG KWAN O,將軍澳,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to Fri: 10:00 a.m.<br>Sat: 10:00 a.m.,星期一至五: 上午 10:00<br>星期六: 上午 10:00,N.A.,N.A.,22.31781,114.26882,,819871,845741,
114.18664,22.34343,46,ISg1ZLyInf,Street Posting Boxes,Street Posting Box No. 207,"Chun Fei House, Tin Ma Court Chuk Yuen.",郵筒,編號207郵箱,竹園天馬苑駿飛閣,WONG TAI SIN,黃大仙區,CHUK YUEN,竹園,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to Fri: 2:00 p.m.<br>Sat: 2:00 p.m.,星期一至五: 下午 2:00<br>星期六: 下午 2:00,N.A.,N.A.,22.34343,114.18664,,822705,837274,
114.14734,22.33247,47,UcYc1EIk9P,Street Posting Boxes,Street Posting Box No. 12,"Sham Mong Road, Hoi Lai Estate.",郵筒,編號12郵箱,海麗邨深旺道,SHAM SHUI PO,深水埗區,CHEUNG SHA WAN,長沙灣,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to Fri: 10:00 a.m.<br>Sat: 10:00 a.m.,星期一至五: 上午 10:00<br>星期六: 上午 10:00,N.A.,N.A.,22.33247,114.14734,,821492,833225,
114.15248,22.34078,48,L0LtpmKDNH,Street Posting Boxes,Street Posting Box No. 179,Taxi Stand Caritas Medical Center.,郵筒,編號179郵箱,明愛醫院的士站,SHAM SHUI PO,深水埗區,CHEUNG SHA WAN,長沙灣,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to Fri: 10:30 a.m.<br>Sat: 10:30 a.m.,星期一至五: 上午 10:30<br>星期六: 上午 10:30,N.A.,N.A.,22.34078,114.15248,,822412,833755,
